nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Raja Sunda Restaurant, Bekasi Selatan","Aneka nasi, Ayam & bebek, Cepat saji",Medan Satria,50rb - 100rb,4.6,,https://gofood.link/u/DBLa,0,,
"Ayam Bakar Kalasan Teh Nenden, RA Kartini","Ayam & bebek, Aneka nasi, Seafood",Bekasi Timur,25rb - 50rb,4.4,,https://gofood.link/u/ez7w9,0,,
"Rumah Makan Pak Ubung, RA Kartini","Bakso & soto, Aneka nasi, Ayam & bebek",Bekasi Timur,50rb - 100rb,4.8,,https://gofood.link/u/eqwdv,0,https://api.jajanbekasi.web.id/foto/44_Rumah_Makan_Pak_Ubung_RA_Kartini.jpg,cached_disk
"Ta Wan, Metropolitan Mall Bekasi",Chinese,Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/y11LZ,0,https://api.jajanbekasi.web.id/foto/45_Ta_Wan_Metropolitan_Mall_Bekasi.jpg,cached_disk
"Chatime, Metropolitan Mall Bekasi","Minuman, Kopi, Sweets",Bekasi Selatan,50rb - 100rb,4.5,,https://gofood.link/u/VVm2A,0,,
"Starbucks, Metropolitan Mall Bekasi","Kopi, Roti, Minuman",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/a/yM9zPXW,0,,
"Nao Kao Thai Tea, Metropolitan Mall Bekasi",Minuman,Bekasi Selatan,25rb - 50rb,3.8,,https://gofood.link/u/gxYeb,0,,
"Mokka Coffee Cabana, Mall Metropolitan Bekasi",Jajanan,Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/a/yM8Yndd,0,,
"Steak 21, Metropolitan Mall",Barat,Bekasi Selatan,>100rb,4.3,,https://gofood.link/u/kLxLe,0,,
"Bakso Lapangan Tembak Senayan, Mal Metropolitan - Kyati Group",Bakso & soto,Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/a/yM8VQdY,0,https://api.jajanbekasi.web.id/foto/46_Bakso_Lapangan_Tembak_Senayan_Mal_Metropolitan_-_Kyati_Group.jpg,cached_disk
"Pan & Flip, Metropolitan Mall","Pizza & pasta, Aneka nasi, Ayam & bebek",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/kxKeP,0,https://api.jajanbekasi.web.id/foto/Pan_Flip_Metropolitan_Mall.jpg,gofood_og
"Martabak Alim, Agus Salim",Martabak,Bekasi Timur,50rb - 100rb,4.6,,https://gofood.link/a/yM9LRLU,0,,
Sate Padang Danguang - Danguang,Sate,Bekasi Timur,10rb - 25rb,0.0,,https://gofood.link/u/5DPk,0,,
"Re.juve., Metropolitan Mall Bekasi","Minuman, Sweets, Jajanan, Kopi",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/AAP9,0,,
"HokBen, Mall Metropolitan Bekasi","Cepat saji, Jepang",Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/ZLNGM,0,,
"Soto Mie Asli Bogor Mang Awi, Perumnas 1",Bakso & soto,Medan Satria,25rb - 50rb,4.6,,https://gofood.link/u/V5JpL,0,,
"KFC, Metropolitan Mall",Cepat saji,Bekasi Selatan,50rb - 100rb,4.5,,https://gofood.link/u/4Vqw,0,,
"Baskin Robbins, Metropolitan Mall",Sweets,Bekasi Selatan,>100rb,4.6,,https://gofood.link/u/aWb8A,0,,
A&W Mall Metropolitan Lt. 2,Cepat saji,Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/gWdB,0,https://api.jajanbekasi.web.id/foto/50_AW_Mall_Metropolitan_Lt_2.jpg,cached_disk
"Hop Hop Bubble, Metropolitan Mall 1",Minuman,Bekasi Selatan,25rb - 50rb,4.5,,https://gofood.link/u/mxwMO,0,,
Favorite Martabak Bangka Kartini Bekasi,Martabak,Bekasi Timur,50rb - 100rb,4.6,favorite martabak Bangka kartini bekasi menyedikan martabak manis dan martabak telor dengan cita rasa tinggi dan bahan-bahan kualitas tinggi,https://gofood.link/u/mxYN1,0,,
"Warung Nasi H. Udin (Nasi Rames, Nasi Uduk, Soto Betawi)","Aneka nasi, Cepat saji",Bekasi Timur,25rb - 50rb,4.7,"Warung nasi pak h.udin pindahan pasar proyek, menyediakan nasi uduk, nasi rames, nasi uduk rames dan soto betawi",https://gofood.link/u/0n4YM,0,,
"Martabak Pizza Orins, Bekasi","Martabak, Jajanan",Bekasi Timur,50rb - 100rb,4.7,"Juara Partner GO-FOOD 2019: Kategori Partner Terbaik Jabodetabek & Kategori Martabak Jabodetabek
",https://gofood.link/a/yM9WMqd,0,,
"Pizza Hut Delivery - PHD, Kartini Bekasi","Pizza & pasta, Cepat saji, Jajanan, Barat, Ayam & bebek",Bekasi Timur,>100rb,4.6,,https://gofood.link/u/0daVk,0,,
"Bakmi GM, Metropolitan Mall","Bakmie, Aneka nasi, Chinese",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/nN9R,0,https://api.jajanbekasi.web.id/foto/051_Bakmi_GM_Metropolitan_Mall.jpg,cached_disk
"D'COST, Mega Bekasi","Aneka nasi, Seafood",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/qBgn,0,,
